no,kode_identitas_bencana,id_kabupaten,tanggal_kejadian,kejadian,lokasi,kabupaten,provinsi,dokumentasi,penyebab,meninggal,hilang,terluka,rumah_rusak,rumah_terendam,fasum_rusak
"40","","3402","2025-12-26","CUACA EKSTREM","Kecamatan:\nKapanewon Piyungan Kel. Srimartani Kapanewon Sanden Kel. Srigading Kel. Gadingsari Kapanewon Kretek Kel. Tirtomulyo Kapanewon Imogiri Kel. Wukirsari Kel. Selopamioro Kapanewon Srandakan Kel. Poncosari Kapanewon Sewon Kel. Bangunharjo Kel. Panggungharjo Kapanewon Kasihan Kel. Bangunjiwo Kapanewon Sedayu Kel. Argosari Kapanewon Dlingo Kal. Mangunan Kapanewon Imogiri Kal. Girirejo Kal. Selopamioro Kal. Wukirsari Kal. Sriharjo Kapanewon Kretek Kal. Donotirto Kal. Parangtritis Kal. Tirtohargo Kal. Tirtomulyo Kal. Tirtosari Kapanewon Piyungan Kal. Srimartani Kal. Srimulyo Kapanewon Sanden Kal. Gadingsari Kal. Murtigading Kal. Srigading Kapanewon Kasihan Kal. Bangunjiwo Kapanewon Pundong Kal. Seloharjo Kapanewon Sewon Kal. Bangunharjo Kal. Panggungharjo Kapanewon Srandakan Kal. Poncosari Kapanewon Pandak Kal. Triharjo Kal. Caturharjo Kal. Gilangharjo","Bantul","Daerah Istimewa Yogyakarta","Dokumentasi","","","","","0","","0"
"328","","3404","2025-11-21","CUACA EKSTREM","Kecamatan:\nKec. Mlati","Sleman","Daerah Istimewa Yogyakarta","Dokumentasi","","2","","","0","","0"
"639","","3404","2025-10-15","CUACA EKSTREM","Kecamatan:\nKapanewon Mlati Kapanewon Sleman Kapanewon Gamping Kapanewon Nglipar Kapanewon Sermin Kapanewon Ngawen Kemantren Umbulharjo Kemantren Tegalrejo","Sleman","Daerah Istimewa Yogyakarta","Dokumentasi","","","","9","6","","4"
"640","","3403","2025-10-15","CUACA EKSTREM","Kecamatan:\nKapanewon Mlati Kapanewon Sleman Kapanewon Gamping Kapanewon Nglipar Kapanewon Sermin Kapanewon Ngawen Kemantren Umbulharjo Kemantren Tegalrejo","Gunungkidul","Daerah Istimewa Yogyakarta","Dokumentasi","","","","","0","","0"
"641","","3471","2025-10-15","CUACA EKSTREM","Kecamatan:\nKapanewon Mlati Kapanewon Sleman Kapanewon Gamping Kapanewon Nglipar Kapanewon Sermin Kapanewon Ngawen Kemantren Umbulharjo Kemantren Tegalrejo","Kota Yogyakarta","Daerah Istimewa Yogyakarta","Dokumentasi","","","","","0","","0"
"1050","","3471","2025-08-19","BANJIR","Kecamatan:\nKec. Kota Gede","Kota Yogyakarta","Daerah Istimewa Yogyakarta","Dokumentasi","","","","","0","90","0"
"1949","3403 104 20250509 1","3403","2025-05-09","CUACA EKSTREM","Kecamatan:\nKapenewon Wonosari Kalurahan Wonosari Kapenewon Nglipar Kalurahan Katongan Kapenewon Karangmojo Kalurahan Bejiharjo","Gunungkidul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","16","","0"
"1957","3404 104 20250507 1","3404","2025-05-07","CUACA EKSTREM","Kecamatan:\nKap. Tempel Kap. Minggir Kap. Seyegan Kap. Turi","Sleman","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","43","","6"
"1973","3404 104 20250505 1","3404","2025-05-05","CUACA EKSTREM","Kecamatan:\nKapanewon Sleman Kalurahan Padowoharjo Kapanewon Ngemplak Kalurahan Bimomartani Kalurahan Widodomartani Kapanewon Prambanan Kalurahan Bokoharjo Kapanewon Kalasan Kalurahan Tirtomartani","Sleman","Daerah Istimewa Yogyakarta","Dokumentasi","","1","0","0","9","","0"
"2168","3403 101 20250328 1","3403","2025-03-28","BANJIR","Kecamatan:\nWonosari Playen Paliyan Semanu","Gunungkidul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","0","84","0"
"2169","3401 101 20250328 1","3401","2025-03-28","BANJIR","Kecamatan:\nKec. Pengasih Ds. Margosari Ds. Pengasih Kec. Kokap Kec. Wates Ds. Giripeni Ds. Wates Kec. Nanggulan Ds. Jatisarono Ds. Donomulyo Ds. Wijimulyo Kec. Girimulyo Ds. Pendoworejo","Kulon Progo","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","2","299","0"
"2171","3401 102 20250328 1","3401","2025-03-28","TANAH LONGSOR","Kecamatan:\nKokap Girimulyo Nanggulan Samigaluh Pengasih","Kulon Progo","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","6","","0"
"2174","3402 101 20250328 1","3402","2025-03-28","BANJIR","Kecamatan:\n(11 Kec / 31 Kel) Kec. Imogiri Kel. Imogiri Kel. Wukirsari Kel. Karangtengah Kel. Karangtalun Kec. Pajangan Kel. Guwosari Kel. Triwidadi Kel. Sendangsari Kec. Pleret Kel. Bawuran Kel. Segoroyoso Kel. Wonolelo Kec. Jetis Kel. Trimulyo Kel. Sumberagung Kel. Canden Kec. Bantul Kel. Bantul Kel. Palbapang Kec. Sewon Kel. Bangunharjo Kec. Srandakan Kel. Poncosari Kec. Kasihan Kel. Bangunjiwo","Bantul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","6","448","1"
"2176","3402 102 20250328 1","3402","2025-03-28","TANAH LONGSOR","Kecamatan:\nImogiri Pleret Kasihan Pajangan Dlingo Banguntapan Kretek Pundong Piyungan Sewon Jetis Sedayu","Bantul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","2","","0"
"2225","3403 104 20250322 1","3403","2025-03-22","CUACA EKSTREM","Kecamatan:\nWonosari Karangmojo Semanu Paliyan Umbulharjo Nanggulan","Gunungkidul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","8","","0"
"2406","3404 104 20250311 1","3404","2025-03-11","CUACA EKSTREM","Kecamatan:\nNgaglik Gamping Mlati Depok Sleman Tempel Seyegan","Sleman","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","13","","0"
"2590","3471 101 20250228 1","3471","2025-02-28","BANJIR","Kecamatan:\nGondomanan","Kota Yogyakarta","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","6","6","0"
"2667","3403 104 20250223 1","3403","2025-02-23","CUACA EKSTREM","Kecamatan:\nSemanu Wonosari Playen","Gunungkidul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","17","","2"
"2668","3402 104 20250223 1","3402","2025-02-23","CUACA EKSTREM","Kecamatan:\nKapanewon Bambanglipuro Kapanewon Bantul Kapanewon Imogiri Kapanewon Jetis Kapanewon Kasihan","Bantul","Daerah Istimewa Yogyakarta","Dokumentasi","","0","0","0","28","","4"
